Identificador do processo de viagem,CÛdigo do Ûrg„o superior,Nome do Ûrg„o superior,Codigo do Ûrg„o pagador,Nome do Ûrgao pagador,CÛdigo da unidade gestora pagadora,Nome da unidade gestora pagadora,Tipo de pagamento,Valor
13393656,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,3595
13393656,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,290
13394126,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,300
13394292,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,206
13394658,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,2468
13395118,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,279
13396092,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,190
13396092,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,272
13396137,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,1959
13396153,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,347
13396156,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,403
13396222,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,487
13396227,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,1198
13396256,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,364
13396310,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,519
13396332,26000,MINISTERIO DA EDUCACAO,26241,UNIVERSIDADE FEDERAL DO PARANA,153079,UNIVERSIDADE FEDERAL DO PARANA,PASSAGEM                      ,134
13397187,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Taxa de agenciamento          ,16
13399127,26000,MINISTERIO DA EDUCACAO,26254,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,153035,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,PASSAGEM                      ,1013
13424462,32000,MINISTERIO DE MINAS E ENERGIA,32210,AGENCIA NACIONAL DE ENERGIA ELETRICA,323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,PASSAGEM                      ,967
13424841,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,297
13424886,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,183
13425854,26000,MINISTERIO DA EDUCACAO,26279,FUNDACAO UNIVERSIDADE FEDERAL DO PIAUI,154048,FUNDA«√O UNIVERSIDADE FEDERAL DO PIAUI,PASSAGEM                      ,1582
13426949,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,2430
13426949,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Taxa de agenciamento          ,16
13427462,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,300
13427464,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,376
13427465,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,DI¡RIAS                       ,941
13427465,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427466,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,DI¡RIAS                       ,796
13427468,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427468,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427471,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427472,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427472,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,229
13427486,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,898
13427525,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,PASSAGEM                      ,1593
13427525,26000,MINISTERIO DA EDUCACAO,26245,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,153115,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,Taxa de agenciamento          ,16
13427583,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,Taxa de agenciamento          ,5
13427583,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,PASSAGEM                      ,922
13427683,63000,ADVOCACIA-GERAL DA UNIAO,63000,ADVOCACIA-GERAL DA UNIAO - UNIDADES COM VÕNCU,110581,DIVISAO DE DIARIAS E PASSAGENS DA AGU,PASSAGEM                      ,1087
13427845,26000,MINISTERIO DA EDUCACAO,26257,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG,153015,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG,PASSAGEM                      ,2149
13429025,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,474
13429075,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,5019
13429221,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,DI¡RIAS                       ,3133
13429221,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,PASSAGEM                      ,1078
13429221,40000,MINISTERIO DO TRABALHO,40000,MINISTERIO DO TRABALHO - UNIDADES COM VÕNCULO,400056,SECRETARIA DE INSPE«√O DO TRABALHO - SIT,DI¡RIAS                       ,925
13429249,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,4934
13429320,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,276
13429321,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,309
13429322,42000,MINISTERIO DA CULTURA,20411,INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL,343026,IPHAN - EXECUCAO ORCAMENTARIA E FINANCEIRA,PASSAGEM                      ,322
13429720,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,1649
13429736,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,1204
13430928,32000,MINISTERIO DE MINAS E ENERGIA,32210,AGENCIA NACIONAL DE ENERGIA ELETRICA,323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,PASSAGEM                      ,399
13430928,32000,MINISTERIO DE MINAS E ENERGIA,32210,AGENCIA NACIONAL DE ENERGIA ELETRICA,323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,DI¡RIAS                       ,1373
13431190,32000,MINISTERIO DE MINAS E ENERGIA,32210,AGENCIA NACIONAL DE ENERGIA ELETRICA,323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,PASSAGEM                      ,540
13431190,32000,MINISTERIO DE MINAS E ENERGIA,32210,AGENCIA NACIONAL DE ENERGIA ELETRICA,323028,AGENCIA NACIONAL DE ENERGIA ELETRICA,DI¡RIAS                       ,1096
13431603,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,332
13431657,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,702
13431657,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,289
13431658,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,316
13432917,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,5532
13432967,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,5532
13433395,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,4969
13433498,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,5763
13433511,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,DI¡RIAS                       ,1040
13433511,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,PASSAGEM                      ,473
13433536,35000,MINISTERIO DAS RELACOES EXTERIORES,35000,MINISTERIO DAS RELACOES EXTERIORES - UNIDADES,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM                      ,5763
13433740,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,PASSAGEM                      ,717
13433740,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,PASSAGEM                      ,493
13434501,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,PASSAGEM                      ,3886
13434725,26000,MINISTERIO DA EDUCACAO,26419,"INST.FED.DE EDUC.,CIENC.E TEC.DO RS",158676,INST.FED.DO RS/CAMPUS FELIZ,PASSAGEM                      ,341
13435205,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,PASSAGEM                      ,555
13435473,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,838
13435473,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,289
13435473,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,284
13435498,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,2561
13435534,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ",130020,SECRETARIA DE RELACOES INTERN.DO AGRONEGOCIO,PASSAGEM                      ,1249
13435608,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,2561
13435757,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,3462
13436680,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,2881
13436752,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,DI¡RIAS                       ,10264
13436806,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,PASSAGEM                      ,843
13436806,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,PASSAGEM                      ,458
13436806,52000,MINISTERIO DA DEFESA,52111,COMANDO DA AERONAUTICA,120016,GRUPAMENTO DE APOIO DE S J CAMPOS,PASSAGEM                      ,822
13436817,52000,MINISTERIO DA DEFESA,52000,MINISTERIO DA DEFESA - UNIDADES COM VÕNCULO D,110404,DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD,PASSAGEM                      ,2881
13436929,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,2947
13437120,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,726
13437428,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,7005
13437548,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,PASSAGEM                      ,889
13437548,26000,MINISTERIO DA EDUCACAO,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,DI¡RIAS                       ,496
13437665,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,2368
13437959,-1,Sigiloso,-1,,-11,Sigilosa,PASSAGEM                      ,9302
